meanfreq,sd,median,Q25,Q75,IQR,sp.ent,sfm,centroid,kurt,skew,label
8.26557113576655e-20,3.6988736684991803e-19,2.382082345777712e-20,1.8590754832862392e-20,4.385110168332842e-20,2.5260346850466026e-20,2.2838615622274558e-15,12098378.517710296,499.9092429708735,176.673951062462,12.594840951079682,female
8.179846673551621e-20,3.718392975805159e-19,2.4213829967448006e-20,1.8324770080216757e-20,4.359449878071607e-20,2.5269728700499316e-20,2.260175016664523e-15,12225169.024643911,499.87450530876686,186.2335092593093,12.874804618578642,female
2.0451514166581358e-20,2.9468682381818646e-19,2.5832805067091836e-21,1.9641225519108214e-21,4.7190543276970076e-21,2.7549317757861862e-21,5.650961325312183e-16,48896136.11521798,499.94730556054105,489.37008249965834,22.107398605829843,female
2.0323865564407445e-20,2.712968263676558e-19,2.9128983766891592e-21,2.2825318670362265e-21,5.315002148213061e-21,3.032470281176834e-21,5.615690845526299e-16,49203239.27329526,499.9643631803967,486.53496224452925,22.01482626094459,female
5.990981533716635e-20,2.6929222257781805e-19,1.9031524101870815e-20,1.0748262443750069e-20,3.2511596993698036e-20,2.1763334549947968e-20,1.6553692965252648e-15,16691756.672623353,499.84574551372435,172.9560034558611,12.48091666888981,female
7.753772771824857e-20,3.6638097152363064e-19,2.367977232842371e-20,1.4433976910676196e-20,4.147043341402529e-20,2.7036456503349092e-20,2.142446451617279e-15,12896948.452905325,499.8634032595942,211.11110226897443,13.607242714377037,female
4.46664057083386e-20,2.432653519379721e-19,1.2142672223927408e-20,9.409329511928864e-21,2.2320938795158154e-20,1.291160928322929e-20,1.2341783381267383e-15,22388191.501150746,499.92492249862437,306.58029695210973,16.456934399919195,female
2.244317458491883e-20,1.8793161550244023e-19,5.071097349057282e-21,3.965343149272233e-21,9.217814768030572e-21,5.2524716187583385e-21,6.201277950424443e-16,44556977.38568274,499.98943834635577,441.61364846038447,20.585888905141406,female
4.7943463397145925e-20,2.8702077278879374e-19,1.3062837374380286e-20,1.0655792332304536e-20,2.3534085287634857e-20,1.2878292955330321e-20,1.3247267648180018e-15,20857901.726034846,499.9711161927815,346.87591170693247,17.67199972410906,female
4.888163985071858e-20,2.781053811954369e-19,1.7710773908975443e-20,3.898434103510453e-21,2.6627995508048032e-20,2.272956140453758e-20,1.3506495431645842e-15,20457579.81801629,499.8168183300129,307.0311132786808,16.461966777855032,female
7.346190295309881e-20,3.496653447694925e-19,2.3029280076735543e-20,1.1952663696988863e-20,3.952663834681508e-20,2.7573974649826214e-20,2.029827264051168e-15,13612498.904367935,499.85511191479765,213.1960953965113,13.667317671400324,female
4.240109309021296e-20,3.3465539264733177e-19,1.0880675936563633e-20,5.5041063418060275e-21,1.8548768316353386e-20,1.3044661974547358e-20,1.171585384722427e-15,23584298.64705209,499.87932576649797,428.7110326143812,20.18263264809861,female
5.265800494830764e-20,2.53381311762648e-19,1.6084637253344416e-20,4.635383928070466e-21,3.051340209666757e-20,2.58780181685971e-20,1.4549943796745166e-15,18990466.001126226,499.793867229403,198.7677459336857,13.228874269220812,female
5.587799730541742e-20,2.9424165493877617e-19,2.0166117042035615e-20,4.692467253125469e-21,3.1082579641064654e-20,2.6390112387939186e-20,1.5439660337614857e-15,17896132.71950609,499.8202824071199,263.040302577145,15.141947552698054,female
3.915732408077354e-20,2.219868479025858e-19,1.046223355361831e-20,8.076680476931316e-21,1.928449447914947e-20,1.1207814002218153e-20,1.0819567977077506e-15,25538007.579233613,499.9227582954807,326.4117545364645,17.054256556776537,female
3.7875431137789093e-20,2.0219709585865464e-19,6.859860653961293e-21,2.0672161690239388e-21,2.328019137561585e-20,2.1212975206591913e-20,1.0465367952249978e-15,26402340.721547343,499.7400860480145,253.4627176893968,14.848574322305437,female
5.180020716728448e-20,2.7059606575288963e-19,1.4328286373571014e-20,1.1224787721496764e-20,2.6233584102050742e-20,1.5008796380553978e-20,1.4312925421433804e-15,19304943.09744269,499.9282828386987,283.5509170787562,15.766098170679667,female
2.991689647057662e-20,3.1419452665592774e-19,5.895326931097865e-21,3.8482282782770916e-21,1.0456556768167337e-20,6.608328489890245e-21,8.266342984886677e-16,33425928.083828907,499.91062844527517,470.840408450019,21.50921080405306,female
